grupo;parametro;codigo_anterior;codigo_nuevo;codigo_nuevo_jm;obs;id_parametro
Parámetros de Biológicos;Clorofila a;Clorofila a;Clo_a;Clo_a;"NA";2000
Parámetros de Biológicos;Feofitina a;Feofitina a;Feo_a;Feo_a;"NA";2001
Parámetros de Biológicos;Microcistina total;Microcistina total;McyT;Microcistina;"NA";2002
Parámetros de Ecotoxicidad;Bioensayo de toxicidad con Daphnia magna;Daphnia magna;Dmag;Dmagna;"NA";2003
Parámetros de Ecotoxicidad;Bioensayo de Toxicidad utilizando Vibrio fisheri;Microtox;Vfish;Vfisheri;"NA";2004
Parámetros Físico-Químicos Generales;Alcalinidad Total;Alcalinilidad Total;AlcT;AlcT;"NA";2005
Parámetros Físico-Químicos Generales;Cloro libre;Cloro libre;ClL;ClL;"NA";2006
Parámetros Físico-Químicos Generales;Cloro total;Cloro total;ClT;ClT;"NA";2007
Parámetros Físico-Químicos Generales;Color;Color;Color;Color;"NA";2008
Parámetros Físico-Químicos Generales;Conductividad;Conductividad;Cond;Cond;"NA";2009
Parámetros Físico-Químicos Generales;Dureza total;Dureza total;DrzT;DurezaT;"NA";2010
Parámetros Físico-Químicos Generales;Granulometria;Granulometria;Grn;Granul;"NA";2011
Parámetros Físico-Químicos Generales;% Húmedad;% Húmedad;Hum;Hum;"NA";2012
Parámetros Físico-Químicos Generales;Índice de corrosividad;Índice de corrosividad;IndCorr;IndCorr;"NA";2013
Parámetros Físico-Químicos Generales;Materia organica;MO;MO;MO;"NA";2031
Parámetros Físico-Químicos Generales;Material particulado en aire, tamaño menor a 10 µm;PM10;MP10;MP10;"NA";2015
Parámetros Físico-Químicos Generales;Material particulado en aire, tamaño menor a 2.5 µm;PM2.5;MP2.5;MP2.5;"NA";2016
Parámetros Físico-Químicos Generales;Oxigeno disuelto;OD;OD;OD;"NA";2017
Parámetros Físico-Químicos Generales;Potencial de hidrogeno (pH);pH;pH;pH;"NA";2018
Parámetros Físico-Químicos Generales;Potencial Redox;Potencial Redox;PtnRdx;PotRedox;"NA";2019
Parámetros Físico-Químicos Generales;Material particulado en aire, total;PTS;PTS;MPtot;Capaz es una abreviación internacional;2014
Parámetros Físico-Químicos Generales;Salinidad;Salinidad;Sal;Sal;"NA";2020
Parámetros Físico-Químicos Generales;Saturación de oxígeno;Saturación de oxígeno;SatO;SatO2;"NA";2021
Parámetros Físico-Químicos Generales;Solidos disueltos fijos;"NA";SDF;SDF;"NA";2236
Parámetros Físico-Químicos Generales;Solidos disueltos totales;Solidos disueltos;SDT;SDT;"NA";2022
Parámetros Físico-Químicos Generales;Solidos disueltos volátiles;"NA";SDV;SDV;"NA";2237
Parámetros Físico-Químicos Generales;Sólidos Sedimentables 10 min.;Sólidos Sedimentables 10 min.;SSed10;SSed10;"NA";2024
Parámetros Físico-Químicos Generales;Sólidos Sedimentables 1 hora;Sólidos Sedimentables 1 hora;SSed60;SSed60;"NA";2023
Parámetros Físico-Químicos Generales;Sólidos suspendidos fijos;Sólidos suspendidos fijos;SSF;SSF;"NA";2025
Parámetros Físico-Químicos Generales;Sólidos suspendidos totales;Sólidos suspendidos totales;SST;SST;"NA";2026
Parámetros Físico-Químicos Generales;Sólidos suspendidos volátiles;Sólidos suspendidos volátiles;SSV;SSV;"NA";2027
Parámetros Físico-Químicos Generales;Sólidos totales fijos;Sólidos totales fijos;STF;STF;"NA";2029
Parámetros Físico-Químicos Generales;Sólidos totales;Sólidos totales;STT;STT;"NA";2028
Parámetros Físico-Químicos Generales;Sólidos totales volátiles;Sólidos totales volátiles;STV;STV;"NA";2030
Parámetros Físico-Químicos Generales;Temperatura;T;Tem;Temp;"NA";2032
Parámetros Físico-Químicos Generales;Transparencia;Transparencia;Transp;Transp;"NA";2034
Parámetros Físico-Químicos Generales;Compuestos de Azufre Reducido Totales;TRS;TRS;TRS;"NA";2033
Parámetros Físico-Químicos Generales;Turbidez;Turbidez;Turb;Turb;"NA";2035
Parámetros Inorgánicos no Metálicos;Cloruro;Cl-;Cl;Cl;"NA";2095
Parámetros Inorgánicos no Metálicos;Clorato;ClO4;ClO4;ClO4;"NA";2094
Parámetros Inorgánicos no Metálicos;Cianuro libre;CN- libre;CNL;CNL;"NA";2092
Parámetros Inorgánicos no Metálicos;Cianuro total;CN- total;CNT;CNT;"NA";2093
Parámetros Inorgánicos no Metálicos;Fluoruro;F-;F;F;"NA";2096
Parámetros Inorgánicos no Metálicos;Sulfuro de Hidrógeno;Sulfuro de Hidrógeno;H2S;H2S;"NA";2109
Parámetros Inorgánicos no Metálicos;Ácido clorhidrico;Ácido clorhidrico;HCl;HCl;"NA";NA
Parámetros Inorgánicos no Metálicos;Ácido fluorhídrico;Ácido fluorídrico;HF;HF;"NA";NA
Parámetros Inorgánicos no Metálicos;Amoniaco libre;NH3;NH3L;NH3;"NA";2091
Parámetros Inorgánicos no Metálicos;Nitrógeno Amoniacal (amonio);Nitrógeno Amoniacal (amonio);NH4;NH4;"NA";2090
Parámetros Inorgánicos no Metálicos;Nitrito;NO2;NO2;NO2;"NA";2101
Parámetros Inorgánicos no Metálicos;Nitrato;NO3;NO3;NO3;"NA";2099
Parámetros Inorgánicos no Metálicos;Nitrato + Nitrito;NO3+NO2;NO3_NO2;NO3_NO2;"NA";2100
Parámetros Inorgánicos no Metálicos;NOX;NOX;NOX;NOX;"NA";2106
Parámetros Inorgánicos no Metálicos;Nitrógeno total;NT;NT;NT;"NA";2102
Parámetros Inorgánicos no Metálicos;Nitrógeno total Kjeldhal;NTK;NTK;NTK;"NA";2103
Parámetros Inorgánicos no Metálicos;Fosfato (ortofosfato);PO4;PO4;PO4;"NA";2097
Parámetros Inorgánicos no Metálicos;Fósforo total;PT;PT;PT;"NA";2098
Parámetros Inorgánicos no Metálicos;Sulfuro;S2-;S2;S2;"NA";2105
Parámetros Inorgánicos no Metálicos;Silicatos;Silicatos;SiO2;SiO2;"NA";2108
Parámetros Inorgánicos no Metálicos;SO2;SO2;SO2;SO2;"NA";2107
Parámetros Inorgánicos no Metálicos;Sulfato;SO4;SO4;SO4;"NA";2104
Parámetros Metálicos;Plata soluble;"NA";AgS;AgS;"NA";2073
Parámetros Metálicos;Plata total;Ag;AgT;AgT;"NA";2072
Parámetros Metálicos;Aluminio soluble;"NA";AlS;AlS;"NA";2037
Parámetros Metálicos;Aluminio total;Al;AlT;AlT;"NA";2036
Parámetros Metálicos;Arsénico soluble;"NA";AsS;AsS;"NA";2041
Parámetros Metálicos;Arsénico;Ar;AsT;AsT;"NA";2040
Parámetros Metálicos;Bario soluble;"NA";BaS;BaS;"NA";2043
Parámetros Metálicos;Bario total;Ba;BaT;BaT;"NA";2042
Parámetros Metálicos;Boro soluble;"NA";BS;BS;"NA";2045
Parámetros Metálicos;Boro total;B;BT;BT;"NA";2044
Parámetros Metálicos;Calcio soluble;"NA";CaS;CaS;"NA";2049
Parámetros Metálicos;Calcio total;Ca;CaT;CaT;"NA";2048
Parámetros Metálicos;Cadmio soluble;"NA";CdS;CdS;"NA";2047
Parámetros Metálicos;Cadmio total;Cd;CdT;CdT;"NA";2046
Parámetros Metálicos;Cobalto soluble;"NA";CoS;CoS;"NA";2051
Parámetros Metálicos;Cobalto total;Co;CoT;CoT;"NA";2050
Parámetros Metálicos;Cromo VI soluble;"NA";Cr6S;Cr6S;"NA";2057
Parámetros Metálicos;Cromo VI;Cr VI;Cr6T;Cr6T;"NA";2056
Parámetros Metálicos;Cromo total soluble;"NA";CrST;CrST;Este no es Cromo Soluble? (por más que diga cromo *total* soluble);2055
Parámetros Metálicos;Cromo total;Cr;CrT;CrT;"NA";2054
Parámetros Metálicos;Cobre soluble;"NA";CuS;CuS;"NA";2053
Parámetros Metálicos;Cobre total;Cu;CuT;CuT;"NA";2052
Parámetros Metálicos;Hierro soluble;"NA";FeS;FeS;"NA";2061
Parámetros Metálicos;Hierro total;Fe;FeT;FeT;"NA";2060
Parámetros Metálicos;Mercurio soluble;"NA";HgS;HgS;"NA";2067
Parámetros Metálicos;Mercurio total;Hg;HgT;HgT;"NA";2066
Parámetros Metálicos;Potasio soluble;"NA";KS;KS;"NA";2077
Parámetros Metálicos;Potasio total;K;KT;KT;"NA";2076
Parámetros Metálicos;Magnesio soluble;"NA";MgS;MgS;"NA";2063
Parámetros Metálicos;Magnesio total;Mg;MgT;MgT;"NA";2062
Parámetros Metálicos;Manganeso soluble;"NA";MnS;MnS;"NA";2065
Parámetros Metálicos;Manganeso total;Mn;MnT;MnT;"NA";2064
Parámetros Metálicos;Molibdeno soluble;"NA";MoS;MoS;"NA";2069
Parámetros Metálicos;Molibdeno total;Mo;MoT;MoT;"NA";2068
Parámetros Metálicos;Sodio soluble;"NA";NaS;NaS;"NA";2083
Parámetros Metálicos;Sodio total;Na;NaT;NaT;"NA";2082
Parámetros Metálicos;Niquel soluble;"NA";NiS;NiS;"NA";2071
Parámetros Metálicos;Niquel total;Ni;NiT;NiT;"NA";2070
